Country,2020 Pop,2019 Pop,2018 Pop,2017 Pop,2016 Pop,2015 Pop,2014 Pop,2013 Pop,2012 Pop,2011 Pop,2010 Pop,2009 Pop,2008 Pop,2007 Pop,2006 Pop,2005 Pop,2004 Pop,2003 Pop,2002 Pop,2001 Pop,2000 Pop
Turkmenistan,6030000,5940000,5850000,5760000,5660000,5570000,5470000,5370000,5270000,5170000,5090000,5010000,4940000,4870000,4810000,4750000,4700000,4660000,4610000,4560000,4520000
Tuvalu,11800,11700,11500,11400,11200,11100,11000,10800,10700,10600,10500,10400,10300,10200,10100,10000,9870,9720,9590,9480,9390
Uganda,45700000,44300000,42700000,41200000,39600000,38200000,36900000,35700000,34600000,33500000,32400000,31400000,30400000,29500000,28600000,27700000,26800000,26000000,25200000,24400000,23700000
Ukraine,43700000,44000000,44200000,44500000,44700000,44900000,45100000,45300000,45500000,45600000,45800000,46000000,46200000,46400000,46600000,46900000,47200000,47600000,48000000,48400000,48800000
United Arab Emirates,9890000,9770000,9630000,9490000,9360000,9260000,9210000,9200000,9140000,8950000,8550000,7920000,7090000,6170000,5300000,4590000,4070000,3710000,3480000,3300000,3130000
United Kingdom,67900000,67500000,67100000,66700000,66300000,65900000,65400000,65000000,64500000,64000000,63500000,62800000,62100000,61500000,60800000,60300000,59900000,59600000,59300000,59100000,58900000
United States,331000000,329000000,327000000,325000000,323000000,321000000,319000000,316000000,314000000,312000000,309000000,306000000,303000000,301000000,298000000,295000000,292000000,290000000,287000000,285000000,282000000
Uruguay,3470000,3460000,3450000,3440000,3420000,3410000,3400000,3390000,3380000,3370000,3360000,3350000,3340000,3330000,3330000,3320000,3320000,3320000,3330000,3330000,3320000
Uzbekistan,33500000,33000000,32500000,32000000,31400000,30900000,30400000,29900000,29400000,29000000,28500000,28100000,27600000,27200000,26800000,26400000,26100000,25700000,25400000,25100000,24800000
Vanuatu,307000,300000,293000,285000,278000,271000,264000,257000,250000,243000,236000,230000,225000,219000,214000,209000,204000,199000,194000,189000,185000
Venezuela,28400000,28500000,28900000,29400000,29900000,30100000,30000000,29800000,29400000,28900000,28400000,28000000,27600000,27200000,26900000,26400000,26000000,25600000,25100000,24600000,24200000
Vietnam,97300000,96500000,95500000,94600000,93600000,92700000,91700000,90800000,89800000,88900000,88000000,87100000,86200000,85400000,84600000,83800000,83100000,82300000,81500000,80700000,79900000
Yemen,29800000,29200000,28500000,27800000,27200000,26500000,25800000,25100000,24500000,23800000,23200000,22500000,21900000,21300000,20700000,20100000,19500000,19000000,18400000,17900000,17400000
Zambia,18400000,17900000,17400000,16900000,16400000,15900000,15400000,14900000,14500000,14000000,13600000,13200000,12800000,12500000,12200000,11900000,11600000,11300000,11000000,10700000,10400000
Zimbabwe,14900000,14600000,14400000,14200000,14000000,13800000,13600000,13400000,13100000,12900000,12700000,12500000,12400000,12300000,12200000,12100000,12000000,12000000,12000000,11900000,11900000
