Country,2020 Pop,2019 Pop,2018 Pop,2017 Pop,2016 Pop,2015 Pop,2014 Pop,2013 Pop,2012 Pop,2011 Pop,2010 Pop,2009 Pop,2008 Pop,2007 Pop,2006 Pop,2005 Pop,2004 Pop,2003 Pop,2002 Pop,2001 Pop,2000 Pop
Malaysia,32400000,31900000,31500000,31100000,30700000,30300000,29900000,29500000,29100000,28700000,28200000,27700000,27200000,26700000,26200000,25700000,25200000,24700000,24200000,23700000,23200000
Maldives,541000,531000,516000,496000,476000,455000,435000,416000,397000,380000,366000,353000,343000,335000,327000,320000,311000,303000,294000,286000,279000
Mali,20300000,19700000,19100000,18500000,18000000,17400000,16900000,16400000,16000000,15500000,15000000,14600000,14100000,13700000,13200000,12800000,12400000,12000000,11600000,11300000,10900000
Malta,442000,440000,439000,438000,436000,434000,430000,426000,422000,418000,414000,412000,409000,408000,406000,405000,403000,401000,399000,396000,394000
Marshall Islands,59200,58800,58400,58100,57700,57400,57200,56900,56700,56500,56400,56300,56200,56000,55800,55300,54500,53500,52400,51400,50800
Mauritania,4650000,4530000,4400000,4280000,4160000,4050000,3930000,3820000,3710000,3600000,3490000,3390000,3300000,3200000,3110000,3020000,2940000,2860000,2780000,2700000,2630000
Mauritius,1270000,1270000,1270000,1260000,1260000,1260000,1260000,1260000,1250000,1250000,1250000,1240000,1240000,1230000,1230000,1220000,1220000,1210000,1200000,1190000,1190000
Mexico,129000000,128000000,126000000,125000000,123000000,122000000,120000000,119000000,117000000,116000000,114000000,112000000,111000000,109000000,108000000,106000000,105000000,103000000,102000000,100000000,98900000
Moldova,4030000,4040000,4050000,4060000,4070000,4070000,4070000,4070000,4080000,4080000,4090000,4100000,4110000,4130000,4150000,4160000,4170000,4170000,4180000,4190000,4200000
Monaco,39200,39000,38700,38400,38100,37700,37300,36900,36500,36000,35600,35200,34900,34500,34200,33800,33500,33100,32800,32500,32100
Mongolia,3280000,3230000,3170000,3110000,3060000,3000000,2940000,2880000,2820000,2770000,2720000,2670000,2630000,2590000,2560000,2530000,2500000,2470000,2440000,2420000,2400000
Montenegro,628000,628000,628000,628000,627000,627000,627000,626000,626000,625000,624000,623000,621000,620000,618000,616000,615000,614000,613000,613000,614000
Morocco,36900000,36500000,36000000,35600000,35100000,34700000,34200000,33700000,33200000,32800000,32300000,31900000,31500000,31200000,30800000,30500000,30100000,29800000,29500000,29100000,28800000
Mozambique,31300000,30400000,29500000,28600000,27800000,27000000,26300000,25600000,24900000,24200000,23500000,22900000,22300000,21700000,21100000,20500000,19900000,19300000,18800000,18200000,17700000
Myanmar,54400000,54000000,53700000,53400000,53000000,52700000,52300000,51900000,51400000,51000000,50600000,50300000,49900000,49600000,49300000,48900000,48600000,48100000,47700000,47200000,46700000
Namibia,2540000,2490000,2450000,2400000,2360000,2310000,2270000,2230000,2190000,2160000,2120000,2080000,2040000,2010000,1970000,1940000,1910000,1880000,1850000,1820000,1790000
Nauru,10800,10800,10700,10600,10500,10400,10300,10200,10100,10100,10000,9950,9880,9850,9830,9850,9910,9990,10100,10200,10300
Nepal,29100000,28600000,28100000,27600000,27300000,27000000,26900000,26900000,27000000,27000000,27000000,26900000,26700000,26400000,26100000,25700000,25400000,25100000,24700000,24300000,23900000
Netherlands,17100000,17100000,17100000,17000000,17000000,16900000,16900000,16800000,16800000,16700000,16700000,16600000,16600000,16500000,16400000,16400000,16300000,16200000,16100000,16000000,15900000
New Zealand,4820000,4780000,4740000,4700000,4660000,4610000,4570000,4520000,4470000,4420000,4370000,4320000,4280000,4230000,4190000,4140000,4080000,4020000,3960000,3910000,3860000
Nicaragua,6620000,6550000,6470000,6380000,6300000,6220000,6140000,6060000,5980000,5900000,5820000,5750000,5670000,5590000,5510000,5440000,5360000,5290000,5220000,5150000,5070000
Niger,24200000,23300000,22400000,21600000,20800000,20000000,19200000,18500000,17800000,17100000,16500000,15800000,15300000,14700000,14100000,13600000,13100000,12600000,12200000,11800000,11300000
Nigeria,206000000,201000000,196000000,191000000,186000000,181000000,176000000,172000000,167000000,163000000,159000000,154000000,150000000,146000000,143000000,139000000,135000000,132000000,129000000,125000000,122000000
North Korea,25800000,25700000,25500000,25400000,25300000,25200000,25100000,24900000,24800000,24700000,24500000,24400000,24300000,24200000,24100000,23900000,23700000,23500000,23300000,23100000,22900000
North Macedonia,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2080000,2070000,2070000,2070000,2070000,2070000,2070000,2060000,2060000,2060000,2050000,2050000,2040000,2030000
Norway,5420000,5380000,5340000,5300000,5250000,5200000,5140000,5080000,5010000,4950000,4890000,4830000,4770000,4720000,4670000,4630000,4600000,4570000,4550000,4520000,4500000
Oman,5110000,4970000,4830000,4670000,4480000,4270000,4030000,3760000,3500000,3250000,3040000,2880000,2750000,2660000,2580000,2510000,2450000,2390000,2330000,2290000,2270000
Pakistan,221000000,217000000,212000000,208000000,204000000,199000000,195000000,191000000,187000000,183000000,179000000,176000000,172000000,168000000,164000000,160000000,157000000,153000000,150000000,146000000,142000000
Palau,18100,18000,17900,17800,17700,17700,17600,17600,17600,17700,18000,18300,18700,19200,19500,19800,19900,19800,19600,19400,19100
Palestine,5100000,4980000,4860000,4750000,4640000,4530000,4430000,4330000,4240000,4150000,4060000,3960000,3860000,3760000,3660000,3580000,3510000,3440000,3380000,3310000,3220000
Panama,4310000,4250000,4180000,4110000,4040000,3970000,3900000,3840000,3770000,3710000,3640000,3580000,3520000,3450000,3390000,3330000,3270000,3210000,3150000,3090000,3030000
Papua New Guinea,8950000,8780000,8610000,8440000,8270000,8110000,7950000,7790000,7630000,7470000,7310000,7140000,6980000,6810000,6650000,6490000,6350000,6220000,6100000,5970000,5850000
Paraguay,7130000,7040000,6960000,6870000,6780000,6690000,6600000,6510000,6420000,6330000,6250000,6160000,6080000,6000000,5910000,5820000,5730000,5630000,5530000,5430000,5320000
Peru,33000000,32500000,32000000,31400000,30900000,30500000,30100000,29800000,29500000,29300000,29000000,28800000,28600000,28300000,28100000,27900000,27600000,27400000,27100000,26800000,26500000
Philippines,110000000,108000000,107000000,105000000,104000000,102000000,101000000,98900000,97200000,95600000,94000000,92400000,90900000,89400000,87900000,86300000,84700000,83100000,81400000,79700000,78000000
Poland,37800000,37900000,37900000,38000000,38000000,38000000,38100000,38200000,38200000,38300000,38300000,38400000,38400000,38400000,38400000,38400000,38400000,38400000,38500000,38500000,38600000
Portugal,10200000,10200000,10300000,10300000,10300000,10400000,10400000,10500000,10500000,10600000,10600000,10600000,10600000,10600000,10500000,10500000,10500000,10400000,10400000,10300000,10300000
Qatar,2880000,2830000,2780000,2720000,2650000,2570000,2460000,2340000,2200000,2040000,1860000,1650000,1440000,1220000,1020000,865000,753000,682000,641000,615000,592000
Rep. of Congo,5520000,5380000,5240000,5110000,4980000,4860000,4740000,4620000,4510000,4390000,4270000,4150000,4010000,3880000,3750000,3620000,3510000,3410000,3310000,3220000,3130000
Romania,19200000,19400000,19500000,19700000,19800000,19900000,20000000,20100000,20200000,20300000,20500000,20600000,20800000,21000000,21200000,21400000,21600000,21700000,21900000,22000000,22100000
Russia,146000000,146000000,146000000,146000000,145000000,145000000,145000000,144000000,144000000,144000000,143000000,143000000,143000000,143000000,143000000,144000000,144000000,145000000,145000000,146000000,146000000
